"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/17/1998","56","","MADISON AVE","36-061-0077","AQS"
"05/23/1998","25","","Jersey City Firehouse","34-017-1003","AQS"
"05/29/1998","70","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"06/04/1998","33","","","34-017-5001","AQS"
"06/10/1998","60","","MADISON AVE","36-061-0077","AQS"
"06/16/1998","53","","MADISON AVE","36-061-0077","AQS"
"06/22/1998","58","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"06/28/1998","36","","MADISON AVE","36-061-0077","AQS"
"07/04/1998","62","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"07/10/1998","51","","MADISON AVE","36-061-0077","AQS"
"07/16/1998","65","","MADISON AVE","36-061-0077","AQS"
"07/22/1998","66","","MADISON AVE","36-061-0077","AQS"
"07/28/1998","59","","MADISON AVE","36-061-0077","AQS"
"08/03/1998","51","","MADISON AVE","36-061-0077","AQS"
"08/09/1998","32","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"08/15/1998","33","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"08/21/1998","57","","MADISON AVE","36-061-0077","AQS"
"08/27/1998","52","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"09/02/1998","52","","MADISON AVE","36-061-0077","AQS"
"09/08/1998","58","","PS 59","36-061-0056","AQS"
"09/14/1998","41","","FORT LEE","34-003-0004","AQS"
"09/20/1998","38","","MADISON AVE","36-061-0077","AQS"
"09/26/1998","140","","FORT LEE","34-003-0004","AQS"
"10/02/1998","58","","MADISON AVE","36-061-0077","AQS"
"10/08/1998","80","","MADISON AVE","36-061-0077","AQS"
"10/14/1998","62","","MADISON AVE","36-061-0077","AQS"
"10/20/1998","70","","MADISON AVE","36-061-0077","AQS"
"10/26/1998","66","","Elizabeth Lab","34-039-0004","AQS"
"11/01/1998","22","","MADISON AVE","36-061-0077","AQS"
"11/07/1998","52","","MADISON AVE","36-061-0077","AQS"
"11/13/1998","82","","MADISON AVE","36-061-0077","AQS"
"11/19/1998","56","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"11/25/1998","56","","MADISON AVE","36-061-0077","AQS"
"12/01/1998","44","","","34-017-5001","AQS"
"12/07/1998","80","","MADISON AVE","36-061-0077","AQS"
"12/13/1998","44","","MADISON AVE","36-061-0077","AQS"
"12/19/1998","47","","MADISON AVE","36-061-0077","AQS"
"12/25/1998","51","","","36-061-0010","AQS"
"12/31/1998","48","","MADISON AVE","36-061-0077","AQS"
"01/06/1999","47","","FORT LEE","34-003-0004","AQS"
"01/12/1999","47","","","34-017-5001","AQS"
"01/18/1999","28","","FORT LEE","34-003-0004","AQS"
"01/24/1999","13","","FORT LEE","34-003-0004","AQS"
"01/30/1999","31","","","34-017-5001","AQS"
"02/05/1999","38","","","34-013-0011","AQS"
"02/11/1999","45","","","34-017-5001","AQS"
"02/17/1999","57","","Elizabeth Lab","34-039-0004","AQS"
"02/23/1999","51","","","34-017-5001","AQS"
"03/01/1999","21","","FORT LEE","34-003-0004","AQS"
"03/07/1999","27","","","34-017-5001","AQS"
"03/13/1999","18","","","34-017-5001","AQS"
"03/19/1999","26","","","34-013-0011","AQS"
"03/25/1999","25","","","34-017-5001","AQS"
"03/31/1999","50","","","34-017-5001","AQS"
"04/06/1999","50","","","34-013-0011","AQS"
"04/12/1999","18","","","34-017-5001","AQS"
"04/18/1999","15","","FORT LEE","34-003-0004","AQS"
"04/24/1999","17","","FORT LEE","34-003-0004","AQS"
"04/30/1999","40","","Elizabeth Lab","34-039-0004","AQS"
"05/06/1999","49","","FORT LEE","34-003-0004","AQS"
"05/12/1999","48","","","34-017-5001","AQS"
"05/18/1999","35","","Elizabeth Lab","34-039-0004","AQS"
"05/24/1999","52","","FORT LEE","34-003-0004","AQS"
"05/30/1999","57","","","34-013-0011","AQS"
"06/05/1999","53","","","34-013-0011","AQS"
"06/11/1999","47","","Elizabeth Lab","34-039-0004","AQS"
"06/17/1999","32","","","34-017-5001","AQS"
"06/23/1999","47","","","34-017-5001","AQS"
"06/29/1999","52","","FORT LEE","34-003-0004","AQS"
"07/05/1999","53","","Elizabeth Lab","34-039-0004","AQS"
"07/11/1999","56","","","34-013-0011","AQS"
"07/17/1999","69","","FORT LEE","34-003-0004","AQS"
"07/23/1999","50","","FORT LEE","34-003-0004","AQS"
"07/29/1999","48","","","34-013-0011","AQS"
"08/04/1999","67","","Elizabeth Lab","34-039-0004","AQS"
"08/10/1999","37","","Elizabeth Lab","34-039-0004","AQS"
"08/16/1999","28","","FORT LEE","34-003-0004","AQS"
"08/22/1999","36","","SUSAN WAGNER HS","36-085-0067","AQS"
"08/28/1999","43","","FORT LEE","34-003-0004","AQS"
"09/03/1999","45","","Elizabeth Lab","34-039-0004","AQS"
"09/09/1999","60","","FORT LEE","34-003-0004","AQS"
"09/15/1999","43","","Elizabeth Lab","34-039-0004","AQS"
"09/21/1999","21","","FORT LEE","34-003-0004","AQS"
"09/27/1999","31","","","34-017-5001","AQS"
"10/03/1999","29","","","34-017-5001","AQS"
"10/09/1999","31","","Jersey City Firehouse","34-017-1003","AQS"
"10/15/1999","30","","Elizabeth Lab","34-039-0004","AQS"
"10/21/1999","38","","FORT LEE","34-003-0004","AQS"
"10/27/1999","45","","Elizabeth Lab","34-039-0004","AQS"
"11/02/1999","44","","","34-013-0011","AQS"
"11/08/1999","48","","","34-017-5001","AQS"
"11/14/1999","28","","FORT LEE","34-003-0004","AQS"
"11/20/1999","33","","","34-017-5001","AQS"
"11/26/1999","20","","FORT LEE","34-003-0004","AQS"
"12/02/1999","28","","GREENPOINT","36-047-0011","AQS"
"12/08/1999","41","","","34-017-5001","AQS"
"12/14/1999","15","","FORT LEE","34-003-0004","AQS"
"12/20/1999","19","","Elizabeth Lab","34-039-0004","AQS"
"12/26/1999","18","","FORT LEE","34-003-0004","AQS"
"01/01/2000","31","","","34-017-5001","AQS"
"01/02/2000","35","","IS 52","36-005-0110","AQS"
"01/03/2000","27","","IS 52","36-005-0110","AQS"
"01/04/2000","18","","IS 52","36-005-0110","AQS"
"01/05/2000","6","","IS 52","36-005-0110","AQS"
"01/06/2000","12","","IS 52","36-005-0110","AQS"
"01/07/2000","30","","","34-017-5001","AQS"
"01/08/2000","14","","IS 52","36-005-0110","AQS"
"01/09/2000","21","","IS 52","36-005-0110","AQS"
"01/10/2000","15","","IS 52","36-005-0110","AQS"
"01/11/2000","12","","IS 52","36-005-0110","AQS"
"01/12/2000","8","","IS 52","36-005-0110","AQS"
"01/13/2000","43","","","34-017-5001","AQS"
"01/14/2000","14","","IS 52","36-005-0110","AQS"
"01/15/2000","15","","IS 52","36-005-0110","AQS"
"01/16/2000","16","","IS 52","36-005-0110","AQS"
"01/17/2000","12","","IS 52","36-005-0110","AQS"
"01/18/2000","18","","IS 52","36-005-0110","AQS"
"01/19/2000","26","","","34-017-5001","AQS"
"01/20/2000","19","","IS 52","36-005-0110","AQS"
"01/21/2000","14","","IS 52","36-005-0110","AQS"
"01/22/2000","14","","IS 52","36-005-0110","AQS"
"01/23/2000","21","","IS 52","36-005-0110","AQS"
"01/24/2000","34","","IS 52","36-005-0110","AQS"
"01/25/2000","27","","Elizabeth Lab","34-039-0004","AQS"
"01/26/2000","13","","IS 52","36-005-0110","AQS"
"01/27/2000","12","","IS 52","36-005-0110","AQS"
"01/28/2000","11","","IS 52","36-005-0110","AQS"
"01/29/2000","17","","IS 52","36-005-0110","AQS"
"01/30/2000","33","","IS 52","36-005-0110","AQS"
"01/31/2000","26","","FORT LEE","34-003-0004","AQS"
"02/01/2000","20","","IS 52","36-005-0110","AQS"
"02/02/2000","8","","IS 52","36-005-0110","AQS"
"02/03/2000","18","","IS 52","36-005-0110","AQS"
"02/04/2000","26","","IS 52","36-005-0110","AQS"
"02/05/2000","19","","IS 52","36-005-0110","AQS"
"02/06/2000","20","","FORT LEE","34-003-0004","AQS"
"02/07/2000","18","","IS 52","36-005-0110","AQS"
"02/08/2000","15","","IS 52","36-005-0110","AQS"
"02/09/2000","26","","IS 52","36-005-0110","AQS"
"02/10/2000","37","","IS 52","36-005-0110","AQS"
"02/11/2000","37","","IS 52","36-005-0110","AQS"
"02/12/2000","28","","Elizabeth Lab","34-039-0004","AQS"
"02/13/2000","21","","IS 52","36-005-0110","AQS"
"02/14/2000","14","","IS 52","36-005-0110","AQS"
"02/15/2000","14","","IS 52","36-005-0110","AQS"
"02/16/2000","26","","IS 52","36-005-0110","AQS"
"02/17/2000","11","","IS 52","36-005-0110","AQS"
"02/18/2000","37","","Elizabeth Lab","34-039-0004","AQS"
"02/24/2000","66","","FORT LEE","34-003-0004","AQS"
"02/25/2000","23","","IS 52","36-005-0110","AQS"
"02/26/2000","9","","IS 52","36-005-0110","AQS"
"03/01/2000","34","","Elizabeth Lab","34-039-0004","AQS"
"03/02/2000","9","","IS 52","36-005-0110","AQS"
"03/03/2000","7","","IS 52","36-005-0110","AQS"
"03/04/2000","8","","IS 52","36-005-0110","AQS"
"03/05/2000","12","","IS 52","36-005-0110","AQS"
"03/06/2000","10","","IS 52","36-005-0110","AQS"
"03/07/2000","39","","FORT LEE","34-003-0004","AQS"
"03/08/2000","37","","IS 52","36-005-0110","AQS"
"03/09/2000","56","","IS 52","36-005-0110","AQS"
"03/10/2000","10","","IS 52","36-005-0110","AQS"
"03/11/2000","12","","IS 52","36-005-0110","AQS"
"03/13/2000","23","","","34-017-5001","AQS"
"03/14/2000","23","","IS 52","36-005-0110","AQS"
"03/15/2000","26","","IS 52","36-005-0110","AQS"
"03/16/2000","31","","IS 52","36-005-0110","AQS"
"03/17/2000","8","","IS 52","36-005-0110","AQS"
"03/18/2000","9","","IS 52","36-005-0110","AQS"
"03/19/2000","27","","FORT LEE","34-003-0004","AQS"
"03/20/2000","19","","IS 52","36-005-0110","AQS"
"03/21/2000","16","","IS 52","36-005-0110","AQS"
"03/22/2000","14","","IS 52","36-005-0110","AQS"
"03/23/2000","44","","IS 52","36-005-0110","AQS"
"03/24/2000","24","","IS 52","36-005-0110","AQS"
"03/25/2000","49","","FORT LEE","34-003-0004","AQS"
"03/26/2000","14","","IS 52","36-005-0110","AQS"
"03/27/2000","25","","IS 52","36-005-0110","AQS"
"03/28/2000","13","","IS 52","36-005-0110","AQS"
"03/29/2000","12","","IS 52","36-005-0110","AQS"
"03/30/2000","17","","IS 52","36-005-0110","AQS"
"03/31/2000","28","","","34-017-5001","AQS"
"04/01/2000","17","","IS 52","36-005-0110","AQS"
"04/02/2000","23","","IS 52","36-005-0110","AQS"
"04/06/2000","50","","FORT LEE","34-003-0004","AQS"
"04/12/2000","23","","","34-017-5001","AQS"
"04/18/2000","19","","FORT LEE","34-003-0004","AQS"
"04/24/2000","20","","","34-017-5001","AQS"
"04/30/2000","40","","Jersey City Firehouse","34-017-1003","AQS"
"05/01/2000","22","","IS 52","36-005-0110","AQS"
"05/02/2000","17","","IS 52","36-005-0110","AQS"
"05/03/2000","19","","IS 52","36-005-0110","AQS"
"05/04/2000","21","","IS 52","36-005-0110","AQS"
"05/05/2000","31","","IS 52","36-005-0110","AQS"
"05/06/2000","56","","","34-017-5001","AQS"
"05/07/2000","37","","IS 52","36-005-0110","AQS"
