"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/09/2009","23","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/10/2009","33","","NIPSCO Wheatfield","18-073-0002","AQS"
"11/11/2009","34","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"11/12/2009","16","","COOK COUNTY TRAILER","17-031-4002","AQS"
"11/13/2009","21","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/14/2009","29","","CTA BUILDING","17-031-0063","AQS"
"11/15/2009","7","","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"11/16/2009","20","","NIPSCO Wheatfield","18-073-0002","AQS"
"11/17/2009","11","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"11/18/2009","17","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/19/2009","27","","COOK COUNTY TRAILER","17-031-1601","AQS"
"11/20/2009","56","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/21/2009","31","","COOK COUNTY TRAILER","17-031-4002","AQS"
"11/22/2009","17","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"11/23/2009","37","","COOK COUNTY TRAILER","17-031-4002","AQS"
"11/24/2009","10","","COOK COUNTY TRAILER","17-031-1601","AQS"
"11/25/2009","37","","COOK COUNTY TRAILER","17-031-1601","AQS"
"11/26/2009","79","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"11/27/2009","47","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"11/28/2009","75","","COOK COUNTY TRAILER","17-031-1601","AQS"
"11/29/2009","16","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/30/2009","33","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"12/01/2009","30","","CTA BUILDING","17-031-0063","AQS"
