"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/06/1992","26","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"04/07/1992","49","","Lynwood","06-037-1301","AQS"
"04/08/1992","41","","Pomona","06-037-1701","AQS"
"04/09/1992","26","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/10/1992","24","","Pasadena","06-037-2005","AQS"
"04/11/1992","23","","Azusa","06-037-0002","AQS"
"04/12/1992","27","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/13/1992","34","","Hawthorne","06-037-5001","AQS"
"04/14/1992","23","","Hawthorne","06-037-5001","AQS"
"04/15/1992","24","","Lynwood","06-037-1301","AQS"
"04/16/1992","39","","Hawthorne","06-037-5001","AQS"
"04/17/1992","35","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/18/1992","41","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/19/1992","45","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/20/1992","35","","Hawthorne","06-037-5001","AQS"
"04/21/1992","35","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/22/1992","23","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/23/1992","39","","Lynwood","06-037-1301","AQS"
"04/24/1992","59","","Lynwood","06-037-1301","AQS"
"04/25/1992","62","","Lynwood","06-037-1301","AQS"
"04/26/1992","66","","Lynwood","06-037-1301","AQS"
"04/27/1992","55","","Lynwood","06-037-1301","AQS"
"04/28/1992","41","","Hawthorne","06-037-5001","AQS"
"04/29/1992","35","","Pomona","06-037-1701","AQS"
"04/30/1992","26","","Pomona","06-037-1701","AQS"
"05/01/1992","24","","","06-037-1601","AQS"
"05/02/1992","30","","Lynwood","06-037-1301","AQS"
"05/03/1992","22","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/04/1992","26","","Pomona","06-037-1701","AQS"
"05/05/1992","26","","Lynwood","06-037-1301","AQS"
"05/06/1992","22","","Lynwood","06-037-1301","AQS"
"05/07/1992","23","","Lynwood","06-037-1301","AQS"
"05/08/1992","28","","","06-037-6002","AQS"
"05/09/1992","23","","","06-037-6002","AQS"
"05/10/1992","13","","Lynwood","06-037-1301","AQS"
"05/11/1992","28","","Lynwood","06-037-1301","AQS"
"05/12/1992","35","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/13/1992","23","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/14/1992","19","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/15/1992","20","","Lynwood","06-037-1301","AQS"
"05/16/1992","23","","Reseda","06-037-1201","AQS"
"05/17/1992","24","","Pomona","06-037-1701","AQS"
"05/18/1992","24","","Pasadena","06-037-2005","AQS"
"05/19/1992","20","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/20/1992","18","","Hawthorne","06-037-5001","AQS"
"05/21/1992","17","","Lynwood","06-037-1301","AQS"
"05/22/1992","20","","Lynwood","06-037-1301","AQS"
"05/23/1992","18","","Lynwood","06-037-1301","AQS"
"05/24/1992","13","","Lynwood","06-037-1301","AQS"
"05/25/1992","16","","Lynwood","06-037-1301","AQS"
"05/26/1992","22","","Lynwood","06-037-1301","AQS"
"05/27/1992","17","","","06-037-6002","AQS"
"05/28/1992","13","","Lynwood","06-037-1301","AQS"
"05/29/1992","20","","Pomona","06-037-1701","AQS"
"05/30/1992","18","","Lynwood","06-037-1301","AQS"
"05/31/1992","16","","Azusa","06-037-0002","AQS"
"06/01/1992","24","","","06-037-1601","AQS"
"06/02/1992","23","","Azusa","06-037-0002","AQS"
"06/03/1992","23","","Azusa","06-037-0002","AQS"
"06/04/1992","23","","Azusa","06-037-0002","AQS"
"06/05/1992","22","","Lynwood","06-037-1301","AQS"
"06/06/1992","22","","Lynwood","06-037-1301","AQS"
"06/07/1992","34","","Lynwood","06-037-1301","AQS"
"06/08/1992","33","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/09/1992","30","","","06-037-1601","AQS"
"06/10/1992","23","","Lynwood","06-037-1301","AQS"
"06/11/1992","16","","Lynwood","06-037-1301","AQS"
"06/12/1992","22","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/13/1992","23","","Hawthorne","06-037-5001","AQS"
"06/14/1992","19","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/15/1992","18","","Hawthorne","06-037-5001","AQS"
"06/16/1992","18","","Burbank","06-037-1002","AQS"
"06/17/1992","36","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/18/1992","22","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/19/1992","27","","Pomona","06-037-1701","AQS"
"06/20/1992","20","","Pasadena","06-037-2005","AQS"
"06/21/1992","22","","","06-037-6002","AQS"
"06/22/1992","38","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/23/1992","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/24/1992","35","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/25/1992","27","","Burbank","06-037-1002","AQS"
"06/26/1992","23","","Lynwood","06-037-1301","AQS"
"06/27/1992","26","","Pomona","06-037-1701","AQS"
"06/28/1992","26","","Pomona","06-037-1701","AQS"
"06/29/1992","16","","","06-037-6002","AQS"
"06/30/1992","23","","","06-037-1601","AQS"
"07/01/1992","15","","Hawthorne","06-037-5001","AQS"
"07/02/1992","22","","West Los Angeles","06-037-0113","AQS"
