"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/19/2005","70","","Toms River","34-029-2002","AQS"
"09/20/2005","96","","Elizabeth Lab","34-039-0004","AQS"
"09/21/2005","40","","Elizabeth Lab","34-039-0004","AQS"
"09/22/2005","62","","Union City","34-017-2002","AQS"
"09/23/2005","65","","Elizabeth Lab","34-039-0004","AQS"
"09/24/2005","30","","Elizabeth Lab","34-039-0004","AQS"
"09/25/2005","46","","Paterson","34-031-0005","AQS"
"09/26/2005","53","","Elizabeth Lab","34-039-0004","AQS"
"09/27/2005","19","","Elizabeth Lab","34-039-0004","AQS"
"09/28/2005","45","","Elizabeth Lab","34-039-0004","AQS"
"09/29/2005","33","","Elizabeth Lab","34-039-0004","AQS"
"09/30/2005","30","","Elizabeth Lab","34-039-0004","AQS"
"10/01/2005","55","","IS 52","36-005-0110","AQS"
"10/02/2005","68","","Elizabeth Lab","34-039-0004","AQS"
"10/03/2005","57","","IS 52","36-005-0110","AQS"
"10/04/2005","66","","Elizabeth Lab","34-039-0004","AQS"
"10/05/2005","63","","IS 52","36-005-0110","AQS"
"10/06/2005","55","","IS 52","36-005-0110","AQS"
"10/07/2005","44","","Union City","34-017-2002","AQS"
"10/08/2005","15","","IS 52","36-005-0110","AQS"
"10/09/2005","13","","IS 52","36-005-0110","AQS"
"10/10/2005","39","","CANAL STREET","36-061-0062","AQS"
"10/11/2005","16","","IS 52","36-005-0110","AQS"
"10/12/2005","18","","Elizabeth Lab","34-039-0004","AQS"
"10/13/2005","41","","NEWBURGH","36-071-0002","AQS"
"10/14/2005","15","","Elizabeth Lab","34-039-0004","AQS"
"10/15/2005","25","","Elizabeth Lab","34-039-0004","AQS"
"10/16/2005","25","","PS 59","36-061-0056","AQS"
"10/17/2005","27","","Elizabeth Lab","34-039-0004","AQS"
"10/18/2005","50","","Elizabeth Lab","34-039-0004","AQS"
"10/19/2005","63","","CANAL STREET","36-061-0062","AQS"
"10/20/2005","22","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/21/2005","56","","Elizabeth Lab","34-039-0004","AQS"
"10/22/2005","52","","Fort Lee Library","34-003-0003","AQS"
"10/23/2005","17","","IS 52","36-005-0110","AQS"
"10/24/2005","47","","Elizabeth Lab","34-039-0004","AQS"
"10/25/2005","29","","MORRISANIA","36-005-0080","AQS"
"10/26/2005","16","","IS 52","36-005-0110","AQS"
"10/27/2005","29","","Elizabeth Lab","34-039-0004","AQS"
"10/28/2005","51","","MORRISANIA","36-005-0080","AQS"
"10/29/2005","33","","IS 52","36-005-0110","AQS"
"10/30/2005","44","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/31/2005","72","","PS 19","36-061-0128","AQS"
"11/01/2005","72","","Elizabeth Lab","34-039-0004","AQS"
"11/02/2005","30","","Elizabeth Lab","34-039-0004","AQS"
"11/03/2005","62","","BOTANICAL GARDEN","36-005-0083","AQS"
"11/04/2005","72","","Elizabeth Lab","34-039-0004","AQS"
"11/05/2005","99","","IS 52","36-005-0110","AQS"
"11/06/2005","119","","Union City","34-017-2002","AQS"
"11/07/2005","27","","IS 52","36-005-0110","AQS"
"11/08/2005","56","","Elizabeth Lab","34-039-0004","AQS"
"11/09/2005","64","","Elizabeth Lab","34-039-0004","AQS"
"11/10/2005","38","","Elizabeth Lab","34-039-0004","AQS"
"11/11/2005","44","","Elizabeth Lab","34-039-0004","AQS"
"11/12/2005","64","","Union City","34-017-2002","AQS"
"11/13/2005","59","","Elizabeth Lab","34-039-0004","AQS"
"11/14/2005","49","","Elizabeth Lab","34-039-0004","AQS"
"11/15/2005","65","","Elizabeth Lab","34-039-0004","AQS"
"11/16/2005","34","","Elizabeth Lab","34-039-0004","AQS"
"11/17/2005","23","","Elizabeth Lab","34-039-0004","AQS"
"11/18/2005","43","","MORRISANIA","36-005-0080","AQS"
"11/19/2005","70","","Elizabeth Lab","34-039-0004","AQS"
"11/20/2005","65","","Elizabeth Lab","34-039-0004","AQS"
"11/21/2005","127","","Paterson","34-031-0005","AQS"
"11/22/2005","29","","IS 52","36-005-0110","AQS"
"11/23/2005","21","","Elizabeth Lab","34-039-0004","AQS"
"11/24/2005","37","","MORRISANIA","36-005-0080","AQS"
"11/25/2005","33","","Elizabeth Lab","34-039-0004","AQS"
"11/26/2005","61","","Elizabeth Lab","34-039-0004","AQS"
"11/27/2005","83","","MORRISANIA","36-005-0080","AQS"
"11/28/2005","70","","Elizabeth Lab","34-039-0004","AQS"
"11/29/2005","50","","Elizabeth Lab","34-039-0004","AQS"
"11/30/2005","43","","PS 59","36-061-0056","AQS"
"12/01/2005","38","","Elizabeth Lab","34-039-0004","AQS"
"12/02/2005","35","","Elizabeth Lab","34-039-0004","AQS"
"12/03/2005","49","","Chester","34-027-3001","AQS"
"12/04/2005","66","","Elizabeth Lab","34-039-0004","AQS"
"12/05/2005","66","","Elizabeth Lab","34-039-0004","AQS"
"12/06/2005","135","","Elizabeth Lab","34-039-0004","AQS"
"12/07/2005","55","","Elizabeth Lab","34-039-0004","AQS"
"12/08/2005","37","","IS 52","36-005-0110","AQS"
"12/09/2005","97","","Chester","34-027-3001","AQS"
"12/10/2005","82","","Elizabeth Lab","34-039-0004","AQS"
"12/11/2005","90","","Elizabeth Lab","34-039-0004","AQS"
"12/12/2005","63","","Union City","34-017-2002","AQS"
"12/13/2005","42","","CANAL STREET","36-061-0062","AQS"
"12/14/2005","45","","IS 52","36-005-0110","AQS"
"12/15/2005","90","","Rahway","34-039-2003","AQS"
"12/16/2005","40","","Elizabeth Lab","34-039-0004","AQS"
"12/17/2005","54","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/18/2005","84","","BOTANICAL GARDEN","36-005-0083","AQS"
"12/19/2005","58","","IS 52","36-005-0110","AQS"
"12/20/2005","63","","IS 52","36-005-0110","AQS"
"12/21/2005","116","","Chester","34-027-3001","AQS"
"12/22/2005","79","","Elizabeth Lab","34-039-0004","AQS"
"12/23/2005","80","","QUEENS COLLEGE 2","36-081-0124","AQS"
"12/24/2005","93","","BOTANICAL GARDEN","36-005-0083","AQS"
"12/25/2005","107","","Elizabeth Lab","34-039-0004","AQS"
"12/26/2005","55","","IS 52","36-005-0110","AQS"
"12/27/2005","49","","JHS 126","36-047-0122","AQS"
"12/28/2005","64","","IS 52","36-005-0110","AQS"
"12/29/2005","62","","Elizabeth Lab","34-039-0004","AQS"
"12/30/2005","40","","PS 59","36-061-0056","AQS"
"12/31/2005","59","","RICHMOND POST OFFICE","36-085-0055","AQS"
"01/01/2006","75","","IS 52","36-005-0110","AQS"
"01/02/2006","134","","Elizabeth Lab","34-039-0004","AQS"
"01/03/2006","31","","Elizabeth Lab","34-039-0004","AQS"
"01/04/2006","64","","FORT LEE","34-003-0004","AQS"
"01/05/2006","69","","Elizabeth Lab","34-039-0004","AQS"
"01/06/2006","38","","FORT LEE","34-003-0004","AQS"
"01/07/2006","48","","IS 52","36-005-0110","AQS"
