"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/10/2002","57","","Burbank","06-037-1002","AQS"
"06/11/2002","54","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/12/2002","60","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/13/2002","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/14/2002","62","","Azusa","06-037-0002","AQS"
"06/15/2002","61","","Azusa","06-037-0002","AQS"
"06/16/2002","67","","Azusa","06-037-0002","AQS"
"06/17/2002","83","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/18/2002","79","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/19/2002","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/20/2002","60","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/21/2002","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/22/2002","60","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/23/2002","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/24/2002","78","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/25/2002","94","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/26/2002","84","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/27/2002","83","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/28/2002","71","","Burbank","06-037-1002","AQS"
"06/29/2002","65","","Azusa","06-037-0002","AQS"
"06/30/2002","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/01/2002","77","","Long Beach (North)","06-037-4002","AQS"
"07/02/2002","74","","Long Beach (North)","06-037-4002","AQS"
"07/03/2002","64","","Azusa","06-037-0002","AQS"
"07/04/2002","102","","Azusa","06-037-0002","AQS"
"07/05/2002","153","","Azusa","06-037-0002","AQS"
"07/06/2002","82","","Azusa","06-037-0002","AQS"
"07/07/2002","88","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/08/2002","88","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/09/2002","81","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/10/2002","76","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/11/2002","71","","Azusa","06-037-0002","AQS"
"07/12/2002","61","","Azusa","06-037-0002","AQS"
"07/13/2002","60","","Lynwood","06-037-1301","AQS"
"07/14/2002","66","","Azusa","06-037-0002","AQS"
"07/15/2002","61","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/16/2002","65","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/17/2002","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/18/2002","69","","Azusa","06-037-0002","AQS"
"07/19/2002","87","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/20/2002","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/21/2002","61","","Azusa","06-037-0002","AQS"
"07/22/2002","60","","","06-037-1601","AQS"
"07/23/2002","55","","Azusa","06-037-0002","AQS"
"07/24/2002","54","","Azusa","06-037-0002","AQS"
"07/25/2002","61","","Azusa","06-037-0002","AQS"
"07/26/2002","63","","Azusa","06-037-0002","AQS"
"07/27/2002","53","","Azusa","06-037-0002","AQS"
"07/28/2002","52","","Azusa","06-037-0002","AQS"
"07/29/2002","60","","Azusa","06-037-0002","AQS"
"07/30/2002","71","","Azusa","06-037-0002","AQS"
"07/31/2002","86","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/01/2002","80","","Azusa","06-037-0002","AQS"
"08/02/2002","76","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/03/2002","85","","Burbank","06-037-1002","AQS"
"08/04/2002","71","","Anaheim","06-059-0007","AQS"
"08/05/2002","79","","Azusa","06-037-0002","AQS"
"08/06/2002","74","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/07/2002","71","","Azusa","06-037-0002","AQS"
"08/08/2002","71","","Azusa","06-037-0002","AQS"
"08/09/2002","77","","Azusa","06-037-0002","AQS"
"08/10/2002","84","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/11/2002","85","","Azusa","06-037-0002","AQS"
"08/12/2002","84","","Burbank","06-037-1002","AQS"
"08/13/2002","91","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/14/2002","108","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/15/2002","116","","Burbank","06-037-1002","AQS"
"08/16/2002","113","","Azusa","06-037-0002","AQS"
"08/17/2002","124","","Azusa","06-037-0002","AQS"
"08/18/2002","105","","Burbank","06-037-1002","AQS"
"08/19/2002","62","","Azusa","06-037-0002","AQS"
"08/20/2002","81","","Azusa","06-037-0002","AQS"
"08/21/2002","86","","Azusa","06-037-0002","AQS"
"08/22/2002","82","","Azusa","06-037-0002","AQS"
"08/23/2002","87","","Azusa","06-037-0002","AQS"
"08/24/2002","69","","Azusa","06-037-0002","AQS"
"08/25/2002","70","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/26/2002","72","","Azusa","06-037-0002","AQS"
"08/27/2002","73","","Burbank","06-037-1002","AQS"
"08/28/2002","65","","Azusa","06-037-0002","AQS"
"08/29/2002","77","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/30/2002","84","","","06-037-1601","AQS"
"08/31/2002","79","","Azusa","06-037-0002","AQS"
"09/01/2002","60","","Azusa","06-037-0002","AQS"
"09/02/2002","67","","Azusa","06-037-0002","AQS"
"09/03/2002","77","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/04/2002","85","","Azusa","06-037-0002","AQS"
"09/05/2002","96","","Azusa","06-037-0002","AQS"
"09/06/2002","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/07/2002","47","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/08/2002","50","","Lynwood","06-037-1301","AQS"
"09/09/2002","66","","Azusa","06-037-0002","AQS"
"09/10/2002","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/11/2002","82","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/12/2002","102","","Long Beach (North)","06-037-4002","AQS"
"09/13/2002","75","","Azusa","06-037-0002","AQS"
"09/14/2002","81","","Long Beach (North)","06-037-4002","AQS"
"09/15/2002","73","","Long Beach (North)","06-037-4002","AQS"
"09/16/2002","54","","Azusa","06-037-0002","AQS"
"09/17/2002","72","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/18/2002","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/19/2002","86","","Long Beach (North)","06-037-4002","AQS"
"09/20/2002","116","","Lynwood","06-037-1301","AQS"
"09/21/2002","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/22/2002","64","","Azusa","06-037-0002","AQS"
"09/23/2002","87","","Azusa","06-037-0002","AQS"
"09/24/2002","111","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/25/2002","138","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/26/2002","153","","Azusa","06-037-0002","AQS"
"09/27/2002","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/28/2002","38","","Azusa","06-037-0002","AQS"
"09/29/2002","42","","Lancaster-Division Street","06-037-9033","AQS"
"09/30/2002","47","","Azusa","06-037-0002","AQS"
"10/01/2002","48","","Azusa","06-037-0002","AQS"
